2018-08-03, SELL ATTEMPT, 206.54
2018-08-03, BUY EXECUTED, 207.03
2018-08-03, SELL ATTEMPT, 206.54
2018-08-06, SELL EXECUTED, 208.00

2018-08-06, SELL EXECUTED, 208.00

2018-08-06, NET, +0.97

2018-08-06, BUY ATTEMPT, 207.61
2018-08-06, SELL EXECUTED, 208.00

2018-08-06, SELL EXECUTED, 208.00

2018-08-06, NET, +0.97

2018-08-06, BUY ATTEMPT, 207.61
2018-08-06, SELL EXECUTED, 208.00

2018-08-06, SELL EXECUTED, 208.00

2018-08-06, NET, +0.97

2018-08-06, BUY ATTEMPT, 207.61
2018-08-07, BUY EXECUTED, 209.32
2018-08-07, SELL ATTEMPT, 205.67
2018-08-07, BUY EXECUTED, 209.32
2018-08-07, SELL ATTEMPT, 205.67
2018-08-07, BUY EXECUTED, 209.32
2018-08-07, SELL ATTEMPT, 205.67
2018-08-08, SELL EXECUTED, 206.05

2018-08-08, SELL EXECUTED, 206.05

2018-08-08, NET, -3.27

2018-08-08, BUY ATTEMPT, 205.81
2018-08-08, SELL EXECUTED, 206.05

2018-08-08, SELL EXECUTED, 206.05

2018-08-08, NET, -3.27

2018-08-08, BUY ATTEMPT, 205.81
2018-08-08, SELL EXECUTED, 206.05

2018-08-08, SELL EXECUTED, 206.05

2018-08-08, NET, -3.27

2018-08-08, BUY ATTEMPT, 205.81
2018-08-09, BUY EXECUTED, 209.53
2018-08-09, SELL ATTEMPT, 207.43
2018-08-09, BUY EXECUTED, 209.53
2018-08-09, SELL ATTEMPT, 207.43
2018-08-09, BUY EXECUTED, 209.53
2018-08-09, SELL ATTEMPT, 207.43
2018-08-10, SELL EXECUTED, 207.36

2018-08-10, SELL EXECUTED, 207.36

2018-08-10, NET, -2.17

2018-08-10, BUY ATTEMPT, 206.81
2018-08-10, SELL EXECUTED, 207.36

2018-08-10, SELL EXECUTED, 207.36

2018-08-10, NET, -2.17

2018-08-10, BUY ATTEMPT, 206.81
2018-08-10, SELL EXECUTED, 207.36

2018-08-10, SELL EXECUTED, 207.36

2018-08-10, NET, -2.17

2018-08-10, BUY ATTEMPT, 206.81
2018-08-13, BUY EXECUTED, 209.31
2018-08-13, SELL ATTEMPT, 208.14
2018-08-13, BUY EXECUTED, 209.31
2018-08-13, SELL ATTEMPT, 208.14
2018-08-13, BUY EXECUTED, 209.31
2018-08-13, SELL ATTEMPT, 208.14
2018-08-14, SELL EXECUTED, 210.16

2018-08-14, SELL EXECUTED, 210.16

2018-08-14, NET, +0.85

2018-08-14, BUY ATTEMPT, 209.02
2018-08-14, SELL EXECUTED, 210.16

2018-08-14, SELL EXECUTED, 210.16

2018-08-14, NET, +0.85

2018-08-14, BUY ATTEMPT, 209.02
2018-08-14, SELL EXECUTED, 210.16

2018-08-14, SELL EXECUTED, 210.16

2018-08-14, NET, +0.85

2018-08-14, BUY ATTEMPT, 209.02
2018-08-15, BUY EXECUTED, 209.22
2018-08-15, SELL ATTEMPT, 209.51
2018-08-15, BUY EXECUTED, 209.22
2018-08-15, SELL ATTEMPT, 209.51
2018-08-15, BUY EXECUTED, 209.22
2018-08-15, SELL ATTEMPT, 209.51
2018-08-16, SELL EXECUTED, 211.75

2018-08-16, SELL EXECUTED, 211.75

2018-08-16, NET, +2.53

2018-08-16, BUY ATTEMPT, 212.58
